Q1,性别,性别题
,本题选项:,
,1,男
,2,女
Q2,您的年龄是？,单选题
,本题选项:,
,1,18岁以下
,2,18~24岁
,3,25~30岁
,4,31~40岁
,5,41~50岁
,6,51~60岁
,7,61岁及以上
Q3,"不包括工作, 您每天上网的时长：",单选题
,本题选项:,
,1,1小时或以下
,2,2小时
,3,3小时
,4,4小时
,5,5小时
,6,5小时以上
Q4,您是否有淘宝直播购物的经历？,单选题
,本题选项:,
,1,是的
,2,否
Q5,每周您大约在淘宝直播等直播平台上花费多少时间？,单选题
,本题选项:,
,1,0小时
,2,1-3小时
,3,4-6小时
,4,7-9小时
,5,10小时以上
Q6,您是否同意相较于其他直播平台，淘宝更有效地吸引了人们的注意力？,单选题
,本题选项:,
,1,非常同意
,2,同意
,3,中性
,4,不同意
,5,强烈反对
Q7,主播（直播中负责主持互动和产品推广的主持人）是否是影响购物的因素之一？,单选题
,本题选项:,
,1,是的
,2,否
Q8,是否有自己欣赏或认可的主播?,单选题
,本题选项:,
,1,是的
,2,否
Q9,您是否赞赏淘宝直播这种高实时交互的购物方式？,单选题
,本题选项:,
,1,非常赞赏
,2,赞赏
,3,中立
,4,不是很赞赏
,5,强烈反对
Q10,您认为使用淘宝直播等服务能使顾客得到更多关于产品的信息吗？,单选题
,本题选项:,
,1,非常同意
,2,同意
,3,中性
,4,不同意
,5,强烈反对
Q11,您是否同意直播有助于更直观地了解产品的用途和特性？,单选题
,本题选项:,
,1,非常同意
,2,同意
,3,中性
,4,不同意
,5,强烈反对
Q12,您是否同意通过直播可以获得更多有关产品质量的信息？,单选题
,本题选项:,
,1,非常同意
,2,同意
,3,中性
,4,不同意
,5,强烈反对
Q13,您是否同意通过淘宝直播可以获取更多有关产品外观的信息？,单选题
,本题选项:,
,1,非常同意
,2,同意
,3,中性
,4,不同意
,5,强烈反对
Q14,淘宝直播会鼓励您进行网上购物吗？,单选题
,本题选项:,
,1,很大可能
,2,可能
,3,中立
,4,不太可能
,5,不可能
